,id
0,734vfN47traLZvdCadj9VL
1,6oTva60E0yp2cvFAybLFmS
2,2GooPMd4ZjE79PJX1IRgRP
3,2plbrEY59IikOBgBGLjaoe
4,3EWaU5exMayFzQMkIfTX7w
5,0NMC6aezcf1GItgscoiQCO
6,1ZzSRXy86bhxjqwNjSZnko
7,74qqnKs6sfAbSwlFECJjOR
8,5Z6hdVHH39nARjTBfMUVl6
9,4HzV6IvuKEuKdh5O60v52u
10,525BSr4N8jG8MpWbFTd6A9
11,6wScCdGt2OkrrOP5kINDDF
12,0tZ3mElWcr74OOhKEiNz1x
13,59WN2psjkt1tyaxjspN8fp
14,3u4gG9MpOVJPOhYPCWivOx
15,2WUVsuoevr1hAogadLG7Ww
16,382tCupmKZKxoo25SCsFH8
17,2E79dyG3vXolWuWiEXqNMX
18,1o9ts3waIgedtU4EiSDqTo
19,4vdDAdLtmTqFR1J4AO4cBf
20,6XEt23sq6sRgER8sSZbCR5
21,6GkAi85HSZGqJwzYC2qXyI
22,3y4J1NqqwJhxo0xhaBFMCN
23,5zzcStevEtH2sUZuBzqLGO
24,1KucENjrvmAEkSVjAgkGH2
25,2TmS5wJTfWrpFgakSSTdCi
26,0DA0XciaII4g0HpSdI4KYH
27,0bkV1iQHSxBaksUqgEkcbc
28,1PH2MDbcBAU094DlgTIND1
29,1gugDOSMREb34Xo0c1PlxM
30,3LGlyLsK0PwfQA9Q0Sg9a8
31,2mWfVxEo4xZYDaz0v7hYrN
32,0mMlo76aVZHpuvoR6fjBSK
33,32fwe7MW5koort1Ua3YFx6
34,3DRG5CJplWKyNDc8z2It8T
35,0xzBmAsCfu3AzX1W0GYtMJ
36,3oE2HPoP7DCgxhrqjAosZY
37,7pMEJEVSjQBuUAqWOupJk6
38,0XJ6tNQcWnFmTVFko1J7YR
39,2wgXqAERSVVLNwdPOfNVAa
40,2yLb9W6vFKlJdMmvHmFtpT
41,1yp4Q86vm7HUHJ46Db4s87
42,7Dexi5Z2IowCkHrnzlWysc
43,5h68SoVFGleijCtjEja3xG
44,4wTvw1dBiPXNiHTh0zzpcI
45,19RybK6XDbAVpcdxSbZL1o
46,41krZZovstMJKeJZJtbL78
47,0AkiAfilrTUXV49dleC5SB
48,5sMEEjviCkH6Rp5X2ZvIIc
49,3Y1EvIgEVw51XtgNEgpz5c
50,62fqMvguJbsSs9HKhhRfuS
51,0PFZCt7UNmpas24HejQGu8
52,5c9tBmJKbTdn1vhzXHeAwW
53,0CySZwyRJ0vyUqtSjM9i2k
54,4w2GLmK2wnioVnb5CPQeex
55,28drn6tQo95MRvO0jQEo5C
56,57ELn9TPDIhrpl0dasS465
57,3OxL6MuctgZp1e0zxoAZhH
58,3Vg7nPYlOrCkcV1abKbRQ1
59,33a2zTGZocgU9XVDDILHM3
60,08vlprFBmwh9TQnjXUtZDG
61,4WWTcYV2tlGm7KwfPpXgLb
62,27ATssFYewh8Vcg6wd6Udq
63,4wFBbeR03fah9nwy0isyO8
64,7iabz12vAuVQYyekFIWJxD
65,6sKGGi2pVKXR69s1SNdhGv
66,4Zg0lLdrF1IJ32IOOZBHGr
67,592A3x9nMXoL3Ay5rKgSwW
68,56sCsLi2iULKchuWnhCsCi
69,2cAZ6Pxbq34h5rgUr7hZKC
70,2G7V7zsVDxg1yRsu7Ew9RJ
71,2prqm9sPLj10B4Wg0wE5x9
72,7DpUoxGSdlDHfqCYj0otzU
73,1LLUoftvmTjVNBHZoQyveF
74,6dOtVTDdiauQNBQEDOtlAB
75,7BRD7x5pt8Lqa1eGYC4dzj
76,6ajiOUVtxRjYcf1EvBDoV4
77,6Lj4RhwPsVfMn7tsA5i8jW
78,2V6xyW0KBDHzyQ4Q0ZSq1W
79,7ySoma7tOtUTPSELihpcko
80,3OsrfBSArPIfUXAO6sXd8i
81,3tcCT8WhAIeRW2Ey9M4bL5
82,46kXlOq68HXFrhkxGV6qtI
83,6rEcXviYlZCEx01m1z7qZv
84,4etKQWcg5S7RvzgpP0nweo
85,3HfEgAaf0koxBpBB8NvGda
86,7ddVpLW467CLYffbPRQNmH
